0	1.58828
0.05362	0.87291
0.10725	0.16138
0.16087	0.13163
0.2145	0.16793
0.26812	0.24602
0.32175	0.52024
0.37537	1.07705
0.429	1.80947
0.48262	2.33992
0.53625	2.05243
0.58987	1.27028
0.6435	0.70329
0.69712	0.45419
0.75075	0.32871
0.80437	0.3619
0.858	0.2485
0.91162	0.40766
0.96525	0.61768
1.01887	0.7685
1.07249	1.48263
1.12612	3.68055
1.17974	12.88202
1.23337	46.48223
1.28699	124.10783
1.34062	170.02677
1.39424	106.77695
1.44787	25.24887
1.50149	3.64672
1.55512	1.17998
1.60874	1.09817
1.66237	0.93842
1.71599	1.01159
1.76962	0.98591
1.82324	1.02589
1.87687	0.68843
1.93049	0.5434
1.98411	0.29132
