  0.000000  0.020248  0.034576 -0.001932  0.031093 -0.343336  0.426604  0.057456  0.039844  0.438946 -0.406108 -0.023839  0.000364  0.047611  0.039361  0.117668
 -0.020248  0.000000 -0.000006 -0.000144 -0.002273  0.012906 -0.041353 -0.000168 -0.005636 -0.042295  0.019704  0.002867 -0.000163 -0.005023 -0.004265 -0.030714
 -0.034576  0.000006  0.000000  0.000266 -0.002628  0.011051 -0.057556 -0.003882 -0.003221 -0.057653  0.019134  0.008209  0.000870 -0.003928 -0.004245 -0.049498
  0.001932  0.000144 -0.000266  0.000000  0.000594 -0.004224  0.006122  0.000661  0.000460  0.006643 -0.004584 -0.000010 -0.000109  0.000916  0.000078  0.001829
 -0.031093  0.002273  0.002628 -0.000594  0.000000 -0.039806  0.007987  0.004389 -0.001418  0.009247 -0.039009 -0.001804  0.000255 -0.002209  0.002281 -0.031238
  0.343336 -0.012906 -0.011051  0.004224  0.039806  0.000000  0.400648  0.007166  0.047724  0.418223 -0.052477 -0.039270  0.000175  0.060786  0.032933  0.428610
 -0.426604  0.041353  0.057556 -0.006122 -0.007987 -0.400648  0.000000  0.068676 -0.010955 -0.010209 -0.407299  0.023705  0.000204 -0.016337  0.005928 -0.394944
 -0.057456  0.000168  0.003882 -0.000661 -0.004389 -0.007166 -0.068676  0.000000 -0.009513 -0.066553  0.008197  0.006487  0.001079 -0.009616 -0.005776 -0.074759
 -0.039844  0.005636  0.003221 -0.000460  0.001418 -0.047724  0.010955  0.009513  0.000000  0.013741 -0.048121 -0.000897 -0.000339 -0.000112  0.002436 -0.033401
 -0.438946  0.042295  0.057653 -0.006643 -0.009247 -0.418223  0.010209  0.066553 -0.013741  0.000000 -0.430474  0.021521 -0.000594 -0.016706  0.005447 -0.403041
  0.406108 -0.019704 -0.019134  0.004584  0.039009  0.052477  0.407299 -0.008197  0.048121  0.430474  0.000000 -0.041402  0.000122  0.064021  0.029968  0.491686
  0.023839 -0.002867 -0.008209  0.000010  0.001804  0.039270 -0.023705 -0.006487  0.000897 -0.021521  0.041402  0.000000 -0.000004  0.002292 -0.003089  0.009038
 -0.000364  0.000163 -0.000870  0.000109 -0.000255 -0.000175 -0.000204 -0.001079  0.000339  0.000594 -0.000122  0.000004  0.000000 -0.000008  0.000334  0.000263
 -0.047611  0.005023  0.003928 -0.000916  0.002209 -0.060786  0.016337  0.009616  0.000112  0.016706 -0.064021 -0.002292  0.000008  0.000000  0.003529 -0.046716
 -0.039361  0.004265  0.004245 -0.000078 -0.002281 -0.032933 -0.005928  0.005776 -0.002436 -0.005447 -0.029968  0.003089 -0.000334 -0.003529  0.000000 -0.034863
 -0.117668  0.030714  0.049498 -0.001829  0.031238 -0.428610  0.394944  0.074759  0.033401  0.403041 -0.491686 -0.009038 -0.000263  0.046716  0.034863  0.000000
