20455952,-0.031193
20456052,-0.022648
20456152,0.023738
20456252,0.02618
20456352,-0.017766
20456452,-0.023869
20456552,-0.049504
20456652,0.018855
20456752,0.0274
20456852,0.070125
20456952,-0.028752
20457052,-0.020207
20457152,-0.023869
20457252,-0.040959
20457352,-0.037297
20457452,-0.031193
20457552,0.084773
20457652,0.066463
20457752,-0.011662
20457852,-0.017766
20457952,-0.023869
20458052,-0.012883
20458152,0.011531
20458252,-0.005559
20458352,-0.02509
20458452,-0.018986
20458552,0.020076
20458652,-0.005559
20458752,-0.028752
20458852,-0.004338
20458952,0.065242
20459052,0.040828
20459152,-0.034855
20459252,-0.011662
20459352,-0.021428
20459452,0.100643
20459552,-0.017766
20459652,-0.049504
20459752,0.179988
20459852,0.02618
20459952,0.004207
20460052,0.020076
20460152,-0.012883
20460252,-0.0434
20460352,-0.045842
20460452,-0.014104
20460552,-0.020207
20460652,0.09698
20460752,-0.009221
20460852,-0.033635
20460952,-0.008
20461052,0.020076
20461152,-0.0434
20461252,-0.008
20461352,-0.023869
20461452,0.0274
20461552,-0.04218
20461652,-0.031193
20461752,0.040828
20461852,-0.016545
20461952,-0.022648
20462052,-0.040959
20462152,-0.031193
20462252,-0.022648
20462352,-0.028752
20462452,-0.049504
20462552,0.000545
20462652,-0.027531
20462752,-0.010441
20462852,0.06158
20462952,0.012752
20463052,0.211727
20463152,0.14825
20463252,0.068904
20463352,0.024959
20463452,-0.036076
20463552,-0.058049
20463652,-0.038518
20463752,-0.026311
20463852,-0.037297
20463952,0.048152
20464052,-0.026311
20464152,-0.033635
20464252,0.261775
20464352,0.017635
20464452,0.011531
20464552,-0.017766
20464652,-0.009221
20464752,-0.040959
20464852,-0.029973
20464952,-0.037297
20465052,-0.044621
20465152,-0.0434
20465252,0.002986
20465352,-0.045842
20465452,-0.027531
20465552,0.002986
20465652,0.089656
20465752,-0.011662
20465852,0.007869
20465952,-0.045842
20466052,-0.014104
20466152,-0.010441
20466252,0.007869
20466352,-0.015324
20466452,-0.04218
20466552,-0.039738
20466652,-0.005559
20466752,0.02618
20466852,0.002986
20466952,0.00909
20467052,-0.006779
