!  transition:                <--             
!
!  transition:   D 53, 14,    <--   53, 13,   
!
        300109.0569   .8000
        300109.0569            .7900
        300109.0569   .8000
!
!  transition:     53, 14, 39 <--   53, 13, 41
!
        300109.0569   .8000
        300109.0569            .7900
        300109.0569   .8000
!
!  transition:     52, 14, 38 <--   52, 13, 39
!
        300124.8366   .8000
        300124.8366            .7900
        300124.8366   .8000
!
!  transition:     52, 14, 39 <--   52, 13, 39
!
        300124.8366   .8000
        300124.8366            .7900
        300124.8366   .8000
!
!  transition:     52, 14, 38 <--   52, 13, 40
!
        300124.8366   .8000
        300124.8366            .7900
        300124.8366   .8000
!
!  transition:     52, 14, 39 <--   52, 13, 40
!
        300124.8366   .8000
        300124.8366            .7900
        300124.8366   .8000
!
!  transition:     51, 14, 38 <--   51, 13, 38
!
        300139.1437   .8000
        300139.1437            .7900
        300139.1437   .8000
!
!  transition:     51, 14, 37 <--   51, 13, 38
!
        300139.1437   .8000
        300139.1437            .7900
        300139.1437   .8000
!
!  transition:     51, 14, 37 <--   51, 13, 39
!
        300139.1437   .8000
        300139.1437            .7900
        300139.1437   .8000
!
!  transition:     51, 14, 38 <--   51, 13, 39
!
        300139.1437   .8000
        300139.1437            .7900
        300139.1437   .8000
!
!  transition:     50, 14, 37 <--   50, 13, 37
!
        300152.0439   .8000
        300152.0439            .7800
        300152.0439   .8000
!
!  transition:   D 50, 14,    <--   50, 13,   
!
        300152.0439   .8000
        300152.0439            .7800
        300152.0439   .8000
!
!  transition:     50, 14, 36 <--   50, 13, 38
!
        300152.0439   .8000
        300152.0439            .7800
        300152.0439   .8000
!
!  transition:     49, 14, 35 <--   49, 13, 36
!
        300163.6014   .8000
        300163.6014            .7900
        300163.6014   .8000
!
!  transition:     49, 14, 35 <--   49, 13, 37
!
        300163.6014   .8000
        300163.6014            .7900
        300163.6014   .8000
!
!  transition:     49, 14, 36 <--   49, 13, 36
!
        300163.6014   .8000
        300163.6014            .7900
        300163.6014   .8000
!
!  transition:     49, 14, 36 <--   49, 13, 37
!
        300163.6014   .8000
        300163.6014            .7900
        300163.6014   .8000
!
!  transition:     48, 14, 35 <--   48, 13, 36
!
        300173.8794   .8000
        300173.8794            .7900
        300173.8794   .8000
!
!  transition:     48, 14, 35 <--   48, 13, 35
!
        300173.8794   .8000
        300173.8794            .7900
        300173.8794   .8000
!
!  transition:     48, 14, 34 <--   48, 13, 36
!
        300173.8794   .8000
        300173.8794            .7900
        300173.8794   .8000
!
!  transition:     48, 14, 34 <--   48, 13, 35
!
        300173.8794   .8000
        300173.8794            .7900
        300173.8794   .8000
!
!  transition:     47, 14, 34 <--   47, 13, 35
!
        300182.9400   .8000
        300182.9400            .7900
        300182.9400   .8000
!
!  transition:     47, 14, 34 <--   47, 13, 34
!
        300182.9400   .8000
        300182.9400            .7900
        300182.9400   .8000
!
!  transition:     47, 14, 33 <--   47, 13, 35
!
        300182.9400   .8000
        300182.9400            .7900
        300182.9400   .8000
!
!  transition:     47, 14, 33 <--   47, 13, 34
!
        300182.9400   .8000
        300182.9400            .7900
        300182.9400   .8000
!
!  transition:     46, 14, 33 <--   46, 13, 34
!
        300190.8442   .8000
        300190.8442            .7900
        300190.8442   .8000
!
!  transition:     46, 14, 33 <--   46, 13, 33
!
        300190.8442   .8000
        300190.8442            .7900
        300190.8442   .8000
!
!  transition:     46, 14, 32 <--   46, 13, 34
!
        300190.8442   .8000
        300190.8442            .7900
        300190.8442   .8000
!
!  transition:     46, 14, 32 <--   46, 13, 33
!
        300190.8442   .8000
        300190.8442            .7900
        300190.8442   .8000
!
!  transition:     45, 14, 32 <--   45, 13, 32
!
        300197.6515   .8000
        300197.6515            .7800
        300197.6515   .8000
!
!  transition:     45, 14, 31 <--   45, 13, 33
!
        300197.6515   .8000
        300197.6515            .7800
        300197.6515   .8000
!
!  transition:     45, 14, 31 <--   45, 13, 32
!
        300197.6515   .8000
        300197.6515            .7800
        300197.6515   .8000
!
!  transition:     45, 14, 32 <--   45, 13, 33
!
        300197.6515   .8000
        300197.6515            .7800
        300197.6515   .8000
!
!  transition:     44, 14, 30 <--   44, 13, 31
!
        300203.4208   .8000
        300203.4208            .7900
        300203.4208   .8000
!
!  transition:     44, 14, 30 <--   44, 13, 32
!
        300203.4208   .8000
        300203.4208            .7900
        300203.4208   .8000
!
!  transition:     44, 14, 31 <--   44, 13, 31
!
        300203.4208   .8000
        300203.4208            .7900
        300203.4208   .8000
!
!  transition:     44, 14, 31 <--   44, 13, 32
!
        300203.4208   .8000
        300203.4208            .7900
        300203.4208   .8000
!
!  transition:     43, 14, 29 <--   43, 13, 31
!
        300208.2093   .8000
        300208.2093            .7900
        300208.2093   .8000
!
!  transition:   D 43, 14,    <--   43, 13,   
!
        300208.2093   .8000
        300208.2093            .7900
        300208.2093   .8000
!
!  transition:     43, 14, 30 <--   43, 13, 30
!
        300208.2093   .8000
        300208.2093            .7900
        300208.2093   .8000
!
!  transition:     42, 14, 29 <--   42, 13, 30
!
        300212.0733   .8000
        300212.0733            .7900
        300212.0733   .8000
!
!  transition:     42, 14, 29 <--   42, 13, 29
!
        300212.0733   .8000
        300212.0733            .7900
        300212.0733   .8000
!
!  transition:     42, 14, 28 <--   42, 13, 30
!
        300212.0733   .8000
        300212.0733            .7900
        300212.0733   .8000
!
!  transition:     42, 14, 28 <--   42, 13, 29
!
        300212.0733   .8000
        300212.0733            .7900
        300212.0733   .8000
!
!  transition:     41, 14, 27 <--   41, 13, 29
!
        300215.0681   .8000
        300215.0681            .7900
        300215.0681   .8000
!
!  transition:   D 41, 14,    <--   41, 13,   
!
        300215.0681   .8000
        300215.0681            .7900
        300215.0681   .8000
!
!  transition:     41, 14, 28 <--   41, 13, 28
!
        300215.0681   .8000
        300215.0681            .7900
        300215.0681   .8000
!
!  transition:     40, 14, 26 <--   40, 13, 27
!
        300217.2474   .8000
        300217.2474            .7800
        300217.2474   .8000
!
!  transition:     40, 14, 27 <--   40, 13, 27
!
        300217.2474   .8000
        300217.2474            .7800
        300217.2474   .8000
!
!  transition:     40, 14, 26 <--   40, 13, 28
!
        300217.2474   .8000
        300217.2474            .7800
        300217.2474   .8000
!
!  transition:     40, 14, 27 <--   40, 13, 28
!
        300217.2474   .8000
        300217.2474            .7800
        300217.2474   .8000
!
!  transition:     39, 14, 26 <--   39, 13, 27
!
        300218.6641   .8000
        300218.6641            .7900
        300218.6641   .8000
!
!  transition:     39, 14, 26 <--   39, 13, 26
!
        300218.6641   .8000
        300218.6641            .7900
        300218.6641   .8000
!
!  transition:     39, 14, 25 <--   39, 13, 27
!
        300218.6641   .8000
        300218.6641            .7900
        300218.6641   .8000
!
!  transition:     39, 14, 25 <--   39, 13, 26
!
        300218.6641   .8000
        300218.6641            .7900
        300218.6641   .8000
!
!  transition:     38, 14, 25 <--   38, 13, 25
!
        300219.3698   .8000
        300219.3698            .7900
        300219.3698   .8000
!
!  transition:   D 38, 14,    <--   38, 13,   
!
        300219.3698   .8000
        300219.3698            .7900
        300219.3698   .8000
!
!  transition:     38, 14, 24 <--   38, 13, 26
!
